Frame # 0
1 -131.587173 27
2 -138.826370 27
3 -142.055511 27
4 -143.156601 27
5 -144.057144 27
6 -143.967285 27
7 -143.770081 27
8 -143.878510 27
9 -143.136154 27
10 -142.576233 27
11 -142.167175 27
12 -142.268906 27
13 -141.974014 27
14 -141.657516 27
15 -140.926071 27
Frame # 37
0 -123.166603 27
1 -133.346619 27
2 -139.659332 27
3 -142.055511 27
4 -142.890503 27
5 -143.615265 27
6 -143.791611 27
7 -143.593994 27
8 -143.393082 27
9 -143.136154 27
10 -142.483109 27
11 -142.072784 27
12 -141.585861 27
13 -141.048508 27
14 -140.771530 27
15 -140.091095 27
Frame # 38
0 -122.978165 27
1 -133.068802 27
2 -138.153809 27
3 -140.788666 27
4 -141.523376 27
5 -142.378281 27
6 -142.561874 27
7 -142.361115 27
8 -142.228073 27
9 -141.664856 27
10 -141.179001 27
11 -140.751175 27
12 -140.317337 27
13 -139.752777 27
14 -139.393356 27
15 -138.606964 27
Frame # 39
0 -122.507965 27
1 -133.161133 27
2 -139.659332 27
3 -142.143417 27
4 -142.764801 27
5 -143.438492 27
6 -143.177063 27
7 -142.801300 27
8 -142.713486 27
9 -142.155396 27
10 -141.551498 27
11 -141.089828 27
12 -141.000732 27
13 -140.585739 27
14 -140.278992 27
15 -139.720261 27
Frame # 40
0 -127.777405 27
1 -132.420593 27
2 -137.852463 27
3 -140.649033 27
4 -141.612045 27
5 -142.466339 27
6 -142.650040 27
7 -142.625549 27
8 -142.324829 27
9 -141.959183 27
10 -141.365585 27
11 -140.995453 27
12 -140.610062 27
13 -140.215546 27
14 -140.180542 27
15 -139.719986 27
Frame # 41
0 -138.127258 27
1 -129.920090 27
2 -136.736862 27
3 -140.385315 27
4 -142.055420 27
5 -143.261749 27
6 -143.440582 27
7 -143.329544 27
8 -143.198914 27
9 -142.057297 27
10 -141.365265 27
11 -140.995453 27
12 -140.220108 27
13 -139.752777 27
14 -139.688690 27
15 -139.349167 27
Frame # 42
0 -130.035324 27
1 -130.938690 27
2 -138.508057 27
3 -141.176468 27
4 -142.232773 27
5 -143.173706 27
6 -143.440262 27
7 -143.417587 27
8 -143.198914 27
9 -143.234558 27
10 -142.762131 27
11 -142.355988 27
12 -141.878922 27
13 -141.233261 27
14 -140.869995 27
15 -139.998581 27
Frame # 43
0 -128.341400 27
1 -133.254013 27
2 -139.925018 27
3 -142.582962 27
4 -143.562866 27
5 -144.410995 27
6 -144.494324 27
7 -144.386047 27
8 -144.266846 27
9 -144.215317 27
10 -143.786530 27
11 -143.488785 27
12 -143.147110 27
13 -142.528992 27
14 -142.149734 27
15 -141.297165 27
Frame # 44
0 -129.000595 27
1 -134.272629 27
2 -140.774200 27
3 -143.549927 27
4 -144.183563 27
5 -145.029312 27
6 -145.109528 27
7 -144.826233 27
8 -144.557755 27
9 -144.411835 27
10 -143.972778 27
11 -143.637939 27
12 -143.537766 27
13 -143.269730 27
14 -143.035355 27
15 -142.132431 27
Frame # 45
0 -129.470505 27
1 -133.994827 27
2 -139.925018 27
3 -142.897858 27
4 -143.562866 27
5 -144.322281 27
6 -144.318634 27
7 -143.858109 27
8 -143.878510 27
9 -143.234268 27
10 -142.762482 27
11 -142.411072 27
12 -142.366486 27
13 -142.066574 27
14 -141.952835 27
15 -141.389938 27
Frame # 46
0 -137.468613 27
1 -129.920090 27
2 -135.142776 27
3 -138.539291 27
4 -140.193253 27
5 -141.671249 27
6 -142.122665 27
7 -142.097000 27
8 -142.131012 27
9 -141.468353 27
10 -140.899628 27
11 -140.279175 27
12 -139.634293 27
13 -139.104935 27
14 -138.802704 27
15 -138.421127 27
Frame # 47
0 -139.162582 27
1 -128.160904 27
2 -137.409775 27
3 -140.912735 27
4 -142.232773 27
5 -143.350113 27
6 -143.528427 27
7 -143.417587 27
8 -143.489822 27
9 -142.842133 27
10 -142.296860 27
11 -142.033569 27
12 -141.781021 27
13 -141.418716 27
14 -141.361847 27
15 -140.833572 27
Frame # 48
0 -135.116013 27
1 -131.309372 27
2 -140.013580 27
3 -142.934570 27
4 -143.954865 27
5 -144.852554 27
6 -145.021347 27
7 -144.826569 27
8 -144.752258 27
9 -144.411530 27
10 -143.973114 27
11 -143.732315 27
12 -143.439835 27
13 -142.992081 27
14 -142.838821 27
15 -142.132141 27
Frame # 49
0 -135.492676 27
1 -131.123901 27
2 -138.330933 27
3 -141.403854 27
4 -142.498795 27
5 -143.350449 27
6 -143.264572 27
7 -143.153473 27
8 -143.004761 27
9 -143.038040 27
10 -142.575897 27
11 -142.167175 27
12 -141.976181 27
13 -141.696365 27
14 -141.165298 27
15 -140.740509 27
