Frame # 0
4 -225.733795 27
5 -225.012970 27
6 -223.989655 27
7 -221.334732 27
8 -220.964203 27
9 -220.052429 27
10 -219.313217 27
11 -219.104599 27
12 -218.806808 27
13 -217.960236 27
14 -216.966324 27
15 -215.333466 27
Frame # 27
0 -225.634445 27
1 -231.320358 27
2 -233.357025 27
3 -231.632401 27
4 -230.257843 27
5 -228.017853 27
6 -227.766769 27
7 -226.793259 27
8 -227.371780 27
9 -226.919876 27
10 -224.807678 27
11 -222.975021 27
12 -221.830887 27
13 -220.459122 27
14 -219.427383 27
15 -217.560089 27
Frame # 28
0 -215.942886 27
1 -229.097916 27
2 -225.032318 27
3 -224.864151 27
4 -224.581238 27
5 -223.598907 27
6 -222.320724 27
7 -221.686874 27
8 -222.032135 27
9 -221.425934 27
10 -220.616989 27
11 -220.237411 27
12 -219.977432 27
13 -219.533646 27
14 -218.836731 27
15 -217.560089 27
Frame # 29
0 -216.131088 27
1 -225.949448 27
2 -224.943756 27
3 -223.281342 27
4 -222.363800 27
5 -222.008087 27
6 -221.090973 27
7 -220.542343 27
8 -220.964203 27
9 -220.248672 27
10 -219.965103 27
11 -219.859802 27
12 -220.075500 27
13 -219.996384 27
14 -220.116486 27
15 -218.673401 27
Frame # 30
0 -220.082977 27
1 -225.949448 27
2 -229.548920 27
3 -228.819931 27
4 -227.951233 27
5 -226.692688 27
6 -225.219437 27
7 -223.975967 27
8 -223.391327 27
9 -222.112671 27
10 -218.195694 27
11 -216.555786 27
12 -215.393051 27
13 -214.906021 27
14 -214.997498 27
15 -214.034592 27
Frame # 31
0 -219.141571 27
1 -231.969116 27
2 -226.626404 27
3 -226.006424 27
4 -224.581238 27
5 -224.925125 27
6 -224.428329 27
7 -223.623779 27
8 -223.780090 27
9 -222.210770 27
10 -220.244476 27
11 -218.573212 27
12 -217.539185 27
13 -217.404465 27
14 -216.080353 27
15 -214.962341 27
Frame # 32
0 -217.448364 27
1 -224.838211 27
2 -227.600586 27
3 -227.765076 27
4 -227.951233 27
5 -228.106247 27
6 -226.800522 27
7 -224.680298 27
8 -224.362167 27
9 -223.093735 27
10 -221.175735 27
11 -219.104599 27
12 -218.806808 27
13 -217.960236 27
14 -217.458557 27
15 -216.075653 27
Frame # 33
0 -213.496002 27
1 -227.060654 27
2 -223.438232 27
3 -223.457138 27
4 -222.363800 27
5 -222.450516 27
6 -222.056686 27
7 -220.718445 27
8 -220.867111 27
9 -220.837296 27
10 -221.268875 27
11 -220.838211 27
12 -220.465195 27
13 -218.607651 27
14 -217.065247 27
15 -215.240692 27
Frame # 34
0 -218.765182 27
1 -227.153275 27
2 -228.663300 27
3 -227.500824 27
4 -224.048553 27
5 -222.450516 27
6 -221.881531 27
7 -221.246689 27
8 -220.672928 27
9 -220.052429 27
10 -219.592590 27
11 -219.199005 27
12 -219.392670 27
13 -219.162964 27
14 -219.033615 27
15 -217.838409 27
Frame # 35
0 -214.061035 27
1 -224.653000 27
2 -221.489899 27
3 -221.962753 27
4 -221.299438 27
5 -220.859680 27
6 -220.563416 27
7 -221.070587 27
8 -221.643768 27
9 -221.033493 27
10 -220.337616 27
11 -220.143005 27
12 -220.074982 27
13 -219.533157 27
14 -218.837204 27
15 -216.817871 27
Frame # 36
0 -213.119614 27
1 -222.800964 27
2 -222.109833 27
3 -221.962753 27
4 -221.210266 27
5 -221.036423 27
6 -221.003143 27
7 -220.014114 27
8 -220.478806 27
9 -219.561905 27
10 -219.685730 27
11 -219.482208 27
12 -219.587738 27
13 -219.348068 27
14 -218.541412 27
15 -217.003418 27
Frame # 37
0 -217.354279 27
1 -224.560410 27
2 -226.360718 27
3 -226.797562 27
4 -225.202118 27
5 -224.394318 27
6 -222.935059 27
7 -222.391205 27
8 -222.517578 27
9 -221.622147 27
10 -220.896362 27
11 -221.310104 27
12 -220.562744 27
13 -219.718277 27
14 -219.132523 27
15 -217.652863 27
Frame # 38
0 -216.413361 27
1 -228.079300 27
2 -227.954834 27
3 -227.413437 27
4 -225.999893 27
5 -225.101349 27
6 -224.341034 27
7 -223.887924 27
8 -223.391327 27
9 -223.878601 27
10 -223.038284 27
11 -221.181412 27
12 -221.148026 27
13 -219.626160 27
14 -218.639862 27
15 -216.910645 27
Frame # 39
0 -212.178696 27
1 -223.819595 27
2 -221.578461 27
3 -221.611130 27
4 -221.032883 27
5 -220.241013 27
6 -219.597198 27
7 -219.485870 27
8 -219.896729 27
9 -218.973282 27
10 -218.195694 27
11 -217.594177 27
12 -217.246536 27
13 -217.126816 27
14 -217.064789 27
15 -216.817871 27
Frame # 40
0 -216.131088 27
1 -223.356567 27
2 -222.375519 27
3 -220.556763 27
4 -219.081543 27
5 -219.268341 27
6 -218.895020 27
7 -218.253296 27
8 -218.342941 27
9 -217.894104 27
10 -217.636948 27
11 -217.499786 27
12 -217.148972 27
13 -217.034271 27
14 -216.375687 27
15 -215.704559 27
Frame # 41
0 -215.566040 27
1 -223.726974 27
2 -223.526794 27
3 -223.193420 27
4 -222.629898 27
5 -221.743484 27
6 -221.266129 27
7 -220.542343 27
8 -220.187531 27
9 -219.660019 27
10 -219.312683 27
11 -219.328217 27
12 -219.100006 27
13 -218.515106 27
14 -218.246078 27
15 -216.446777 27
Frame # 42
0 -212.178696 27
1 -222.152740 27
2 -221.224213 27
3 -219.677689 27
4 -219.702423 27
5 -219.975372 27
6 -219.158524 27
7 -218.341354 27
8 -218.731247 27
9 -218.580841 27
10 -218.475067 27
11 -217.499786 27
12 -215.978363 27
13 -214.813477 27
14 -213.520874 27
15 -212.457382 27
Frame # 43
0 -217.730179 27
1 -224.282593 27
2 -226.360718 27
3 -224.951538 27
4 -223.960358 27
5 -224.041336 27
6 -223.637772 27
7 -222.655350 27
8 -222.420486 27
9 -222.210770 27
10 -220.616989 27
11 -219.954208 27
12 -219.489670 27
13 -219.162964 27
14 -218.344971 27
15 -216.539551 27
Frame # 44
0 -211.143707 27
1 -222.800964 27
2 -221.578461 27
3 -220.907867 27
4 -219.170227 27
5 -218.473450 27
6 -217.928772 27
7 -216.404449 27
8 -216.789566 27
9 -216.520615 27
10 -216.053772 27
11 -216.083771 27
12 -216.661224 27
13 -216.664078 27
14 -216.178802 27
15 -215.426239 27
Frame # 45
0 -212.743759 27
1 -220.578506 27
2 -222.640701 27
3 -222.314362 27
4 -220.855957 27
5 -220.505646 27
6 -219.070160 27
7 -218.605438 27
8 -218.440033 27
9 -217.403564 27
10 -216.519409 27
11 -216.366974 27
